laptopId;battery;cpu;description;frameRate;image;manufacturer;model;os;price;ram;resolution;screenSize;stockAvailable;storage;vga;webcam;weight
00026735-c220-4cfb-be66-bcbee5be7649;90WHrs;"AMD Ryzen 5 7535HS (Up to 4.55GHz, 6 lõi / 12 luồng)";"Đồ họa - Kỹ thuật, Gaming";"144 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__3_34.png;ASUS;"Laptop ASUS TUF Gaming A15 FA507NU-LP131W";"Windows 11 Home";29490000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"1TB SSD M2 PCIe 4.0 NVMe (1 khe trống, nâng cấp tối đa 2TB)";"NVIDIA GeForce RTX 4050 Laptop GPU 6GB GDDR6";"720P HD";"2.2 kg"
004eb3d2-b571-4e11-9799-31913bc09915;"4-cell, 57.5 Wh";"Intel® Core™ i5-11400H – CPU thế hệ 11 mới nhất, 2.6 GHz (up to 4.4 GHz), 6 nhân, 12 luồng, 12 MB, 8 GT/s";Gaming;144Hz;https://cellphones.com.vn/media/catalog/product/_/0/_0003_60790_laptop_acer_gaming_nitro_5.jpg;Acer;"Laptop Gaming Acer Nitro 5 Eagle AN515-57-54MV";"Windows 11 Home";26490000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"512GB SSD PCIe NVMe (nâng cấp tối đa 2TB SSD PCIe Gen3, 8 Gb/s, NVMe và 2TB HDD 2.5-inch 5400 RPM)";"NVIDIA® GeForce RTX™ 3050 4G GDDR6";"HD 720p ";"2.2 kg "
00acd1c4-a5f8-4436-be7f-eddf89e30eb1;Li-Po;"Intel Core i5 1135G7 (4.2 GHz, 4 lõi / 8 luồng, 8 MB)";"Học tập - Văn phòng";"60 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5_43.png;Dell;"Laptop Dell Inspiron 15 3520 WTPRT";"Windows 11";14990000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"256GB SSD (M2) PCI-E Gen 4.0 (4x)";"Intel UHD Graphics";"Full HD (1920 x 1080 pixels)";"1.63 kg"
00c77729-5d87-4a30-8326-ae404375e93c;"Mặc định";"Apple M2 Pro 10 nhân";"Học tập - Văn phòng, Mỏng nhẹ";"Mặc định";https://cellphones.com.vn/media/catalog/product/d/o/download_2__3_2_4.jpg;Apple;"Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam";macOS;36990000;16GB;"Mặc định";"Mặc định";43;1TB;"16 nhân GPU";"Mặc định";"1.28 kg"
01bfd25d-8296-4f3d-8b97-7ac5239ac374;"63WHrs, 3S1P, 3-cell Li-ion";"Intel Core Ultra 5 226V 16GB 1.6 GHz (8MB Cache, up to 4.5 GHz, 8 lõi, 8 luồng)";"Học tập - Văn phòng, Cao cấp - Sang trọng, Mỏng nhẹ";"144 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_7__2_145.png;ASUS;"Laptop ASUS ExpertBook P5 P5405CSA-NZ0016W";"Windows 11 Home";27990000;16GB;"2560 x 1600 (WQXGA)";"14 inches";46;"512GB M.2 2280 NVMe PCIe 4.0 SSD";"Intel Arc 130V GPU";"Camera FHD 1080p có chức năng IR hỗ trợ Windows Hello <br>Có màn trập camera";"1.27 kg"
023af51d-7a95-4686-ba1d-96ee49f89b96;"42 Wh";"Intel Core i3-1215U";"Học tập - Văn phòng, Cao cấp - Sang trọng, Mỏng nhẹ";"Mặc định";https://cellphones.com.vn/media/catalog/product/l/a/laptop-huawei-matebook-d14-i3-1215u_4__1.png;Huawei;"Laptop Huawei Matebook D14";"Windows 11 Home";12990000;8GB;"1920 x 1080 pixels (FullHD)";"14 inches";43;"256GB SSD NVMe PCIe";"Intel UHD Graphics";"720P ";"1.39 kg"
02ac6e51-120c-42b7-b220-d81f4dd9a975;"42WHrs, 3S1P, 3-cell Li-ion";"Intel Core i7-1355U (1.7 GHz, 12M Cache, up to 5.0 GHz, 10 lõi)";"Học tập - Văn phòng";"60 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2024-04-09t205746.880.png;ASUS;"Laptop ASUS ExpertBook B1402CVA-NK0157W";"Windows 11 Home";18490000;8GB;"1920 x 1080 pixels (FullHD)";"14 inches";46;"512GB M.2 2280 NVMe PCIe 4.0 SSD";"Intel UHD Graphics";"720p HD với màn trập camera";"1.46 kg"
02d1d11c-7563-4d2e-a021-110c01a74ac4;"3 cell, 53.5Whr";"Intel Core i7-13620H (3.6GHz~4.9GHz, 10 lõi / 16 luồng)";Gaming;144Hz;https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_11__2_50.png;MSI;"Laptop MSI Katana 15 B13VFK-676VN";"Windows 11 Home";36990000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"1TB NVMe PCIe Gen 4 SSD";"NVIDIA GeForce RTX 4060, GDDR6 8GB";"HD type (30fps@720p)";"2.25 kg"
03350fb6-8649-41aa-bcf0-9a287db18702;"56WHrs, 4S1P, 4-cell Li-ion";"AMD Ryzen 7 4800H Mobile (8 lõi /16 luồng, 12MB, 4.2 GHz)";Gaming;"Mặc định";https://cellphones.com.vn/media/catalog/product/l/a/laptop-asus-rog-strix-g15-g513ie-hn246w-1.jpg;ASUS;"Laptop Asus Rog Strix G15 G513IE-HN246W";"Windows 11 Home";24300000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"512GB PCIe 3.0 NVMe M.2 SSD";"NVIDIA GeForce RTX 3050 Ti, 4GB GDDR6 <br> Card tích hợp - AMD Radeon Graphics";"Mặc định";"2.10 kg"
0369bf5a-dee0-4455-bd17-9ec41b81d35d;"43 Wh";"Intel Core i5-1335U (up to 4.6 GHz, 12 Cache, 10 lõi / 12 luồng)";"Học tập - Văn phòng";"Mặc định";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_26__31.png;HP;"Laptop HP Envy X360 2IN1 14-ES0013";"Windows 11";19990000;8GB;"1920 x 1080 pixels (FullHD)";"14 inches";43;"SSD 512 GB PCIe NVMe M.2";"Intel Iris Xe";"Webcam HD với màn trập riêng tư";"1.49 kg"
